frame.number,frame.time,eth.src,eth.dst,eth.type,ip.src,ip.dst,tcp.srcport,tcp.dstport,_ws.col.protocol,_ws.col.info
"1464","Jul 14, 2025 09:49:51.562806000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   268; Unit:   1, Func:   3: Read Holding Registers"
"1465","Jul 14, 2025 09:49:51.564703000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=2285 Ack=2581 Win=502 Len=11"
"1466","Jul 14, 2025 09:49:51.614872000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=2581 Ack=2296 Win=19082 Len=0"
"1467","Jul 14, 2025 09:49:51.616996000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 1466#1] 64279 → 502 [ACK] Seq=2581 Ack=2296 Win=19082 Len=0"
"1468","Jul 14, 2025 09:49:51.673855000 EDT","08:00:27:11:68:b4","33:33:00:00:00:16","0x86dd",,,,,"ICMPv6","Multicast Listener Report Message v2"
"1469","Jul 14, 2025 09:49:51.723808000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   269; Unit:   1, Func:   1: Read Coils"
"1470","Jul 14, 2025 09:49:51.726395000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=2581 Ack=2296 Win=19082 Len=12"
"1471","Jul 14, 2025 09:49:51.729925000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   269; Unit:   1, Func:   1: Read Coils"
"1472","Jul 14, 2025 09:49:51.731864000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=2296 Ack=2593 Win=502 Len=10"
"1473","Jul 14, 2025 09:49:51.780196000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=2593 Ack=2306 Win=19072 Len=0"
